key,value
"
",1
 ,2
¤²,3
¤¸,4
¤§,5
¤¡,6
¤µ,7
¤³,8
¤¹,9
¤¨,10
¤¢,11
¤¶,12
¤Â,13
¤Æ,14
¤±,15
¤¤,16
¤·,17
¤©,18
¤¾,19
¤»,20
¤¼,21
¤º,22
¤½,23
¤Ë,24
¤Å,25
¤Á,26
¤À,27
¤Ä,28
¤Ç,29
¤Ã,30
¤¿,31
¤Ó,32
¤Ð,33
¤Ì,34
¤Ñ,35
¤È,36
¤Í,37
¤Ê,38
¤Ò,39
¤Ï,40
¤¦,41
¤É,42
¤´,43
¤ª,44
¤°,45
¤Î,46
¤«,47
¤¥,48
¤¬,49
¤£,50
¤®,51
¤¯,52
a,53
b,54
c,55
d,56
e,57
f,58
g,59
h,60
i,61
j,62
k,63
l,64
m,65
n,66
o,67
p,68
q,69
r,70
s,71
t,72
u,73
v,74
w,75
x,76
y,77
z,78
0,79
1,80
2,81
3,82
4,83
5,84
6,85
7,86
8,87
9,88
~,89
!,89
@,89
#,89
$,89
%,89
^,89
&,89
*,89
(,89
),89
-,89
_,89
=,89
+,89
<,89
>,89
?,89
",",89
.,89
/,89
:,89
;,89
',89
"""",89
[,89
],89
{,89
},89
|,89
¢¾,90
¢½,90
¡Ú,90
¡Ù,90
¢Ñ,90
¢Ð,90
¤ý,90
¢º,90
¡Ø,90
¡Ü,90
«ò,90
¡¿,90
¢Ý,90
¡ä,90
£¡,90
¢Ü,90
¢Ö,90
¢Á,90
¡ë,90
¡Â,90
¡Ã,90
¡ß,90
¢»,90
¢Ø,90
¡æ,90
¢£,90
¢¹,90
¢ª,90
¡Û,90
¢¸,90
¡Ý,90
¬ß,90
¡À,90
¡Þ,90
¡á,90
¡è,90
¢¿,90
¡Æ,90
¡£,90
¢Â,90
¢â,90
¢À,90
¢¯,90
¡é,90
¡à,90
¢Ï,90
¡å,90
¡ç,90
¢Û,90
¡Ô,90
¬Ó,90
¬Þ,90
¢¼,90
¨¬,90
¨»,90
¡¶,90
¬Ô,90
¢·,90
©¢,90
¢Ã,90
¬ñ,90
¢Í,90
A,91
B,92
C,93
D,94
E,95
F,96
G,97
H,98
I,99
J,100
K,101
L,102
M,103
N,104
O,105
P,106
Q,107
R,108
S,109
T,110
U,111
V,112
W,113
X,114
Y,115
Z,116
