key,value
_,0
"
",1
 ,2
¤²,3
¤¸,4
¤§,5
¤¡,6
¤µ,7
¤³,8
¤¹,9
¤¨,10
¤¢,11
¤¶,12
¤Â,13
¤Æ,14
¤±,15
¤¤,16
¤·,17
¤©,18
¤¾,19
¤»,20
¤¼,21
¤º,22
¤½,23
¤Ë,24
¤Å,25
¤Á,26
¤À,27
¤Ä,28
¤Ç,29
¤Ã,30
¤¿,31
¤Ó,32
¤Ð,33
¤Ì,34
¤Ñ,35
¤È,36
¤Í,37
¤Ê,38
¤Ò,39
¤Ï,40
¤¦,41
¤É,42
¤´,43
¤ª,44
¤°,45
¤Î,46
¤«,47
¤¥,48
¤¬,49
¤£,50
¤®,51
¤¯,52
a,53
b,54
c,55
d,56
e,57
f,58
g,59
h,60
i,61
j,62
k,63
l,64
m,65
n,66
o,67
p,68
q,69
r,70
s,71
t,72
u,73
v,74
w,75
x,76
y,77
z,78
0,79
1,80
2,81
3,82
4,83
5,84
6,85
7,86
8,87
9,88
*,89
ô¸,90
¢Õ,91
¢Þ,92
